date,kpi_value,promo_index,baseline_trend,seasonality,is_anomaly
2016-01-01,46.780251742634235,0.0,50.0,-5.206604869410696,0
2016-01-02,51.35002085105353,13.5722029985857,50.030010003334446,-11.699134946181882,0
2016-01-03,43.2687963694553,0.0,50.06002000666889,-9.381977789616359,0
2016-01-04,73.77845177966894,17.596302344033496,50.09003001000333,0.0,0
2016-01-05,58.56540430406079,0.0,50.12004001333778,9.381977789616357,0
2016-01-06,60.91263713505739,0.0,50.150050016672225,11.699134946181884,0
2016-01-07,61.703516151446934,0.0,50.18006002000667,5.2066048694106986,0
2016-01-08,48.07320407054205,0.0,50.21007002334111,-5.206604869410696,0
2016-01-09,36.663047536753865,0.0,50.24008002667556,-11.699134946181882,0
2016-01-10,43.058352414737506,0.0,50.27009003001,-9.381977789616359,0
2016-01-11,48.4464292620946,0.0,50.30010003334445,0.0,0
2016-01-12,57.84916881201423,0.0,50.330110036678896,9.381977789616357,0
2016-01-13,63.02710407245936,0.0,50.360120040013335,11.699134946181884,0
2016-01-14,47.943613934127285,0.0,50.39013004334778,5.2066048694106986,0
2016-01-15,38.3138638472194,0.0,50.42014004668223,-5.206604869410696,0
2016-01-16,36.5018649868709,0.0,50.450150050016674,-11.699134946181882,0
2016-01-17,37.04685778239707,0.0,50.48016005335112,-9.381977789616359,0
2016-01-18,51.767159387066656,0.0,50.51017005668556,0.0,0
2016-01-19,56.29006154755152,0.0,50.540180060020006,9.381977789616357,0
2016-01-20,56.62011020419517,0.0,50.57019006335445,11.699134946181884,0
2016-01-21,61.66940001178581,0.0,50.6002000666889,5.2066048694106986,0
2016-01-22,44.5204999986665,0.0,50.63021007002334,-5.206604869410696,0
2016-01-23,39.231197945927605,0.0,50.660220073357785,-11.699134946181882,0
2016-01-24,35.60925954222205,0.0,50.69023007669223,-9.381977789616359,0
2016-01-25,48.54270918192594,0.0,50.72024008002668,0.0,0
2016-01-26,60.57591823181694,0.0,50.750250083361124,9.381977789616357,0
2016-01-27,57.875420723188235,0.0,50.78026008669556,11.699134946181884,0
2016-01-28,57.51966703282339,0.0,50.81027009003001,5.2066048694106986,0
2016-01-29,43.23112046427854,0.0,50.840280093364456,-5.206604869410696,0
2016-01-30,38.004380151343916,0.0,50.8702900966989,-11.699134946181882,0
2016-01-31,39.1114958614994,0.0,50.90030010003334,-9.381977789616359,0
2016-02-01,58.33942284140354,0.0,50.93031010336779,0.0,0
2016-02-02,60.288308997366855,0.0,50.960320106702234,9.381977789616357,0
2016-02-03,58.45862134039496,0.0,50.99033011003668,11.699134946181884,0
2016-02-04,71.91677703235206,12.399652401157478,51.02034011337113,5.2066048694106986,0
2016-02-05,40.960370647410784,0.0,51.050350116705566,-5.206604869410696,0
2016-02-06,50.12941817113398,9.912738617256826,51.08036012004001,-11.699134946181882,0
2016-02-07,33.889711838239,0.0,51.11037012337446,-9.381977789616359,0
2016-02-08,45.82763593111518,0.0,51.140380126708905,0.0,0
2016-02-09,61.339812863136196,0.0,51.170390130043344,9.381977789616357,0
2016-02-10,35.85340139954131,0.0,51.20040013337779,11.699134946181884,1
2016-02-11,57.122488130882815,0.0,51.23041013671224,5.2066048694106986,0
2016-02-12,45.59122214108302,0.0,51.26042014004668,-5.206604869410696,0
2016-02-13,38.38688041484209,0.0,51.29043014338113,-11.699134946181882,0
2016-02-14,49.01979353816176,12.995419142532256,51.32044014671557,-9.381977789616359,0
2016-02-15,48.471073316471184,0.0,51.350450150050015,0.0,0
2016-02-16,58.91988285916167,0.0,51.38046015338446,9.381977789616357,0
2016-02-17,67.33809400777646,0.0,51.41047015671891,11.699134946181884,0
2016-02-18,58.021558187737895,0.0,51.440480160053355,5.2066048694106986,0
2016-02-19,39.21172467252616,0.0,51.470490163387794,-5.206604869410696,0
2016-02-20,41.09770109811954,0.0,51.50050016672224,-11.699134946181882,0
